Nombre de symboles,Longueur originale,Longueur code,Taux de compression
5,0.0,4.0,-inf
105,105.0,8.0,0.9238095238095239
205,205.0,20.0,0.9024390243902439
305,305.0,8.0,0.9737704918032787
405,405.0,25.0,0.9382716049382716
505,505.0,20.0,0.9603960396039604
605,605.0,8.0,0.9867768595041322
705,705.0,8.0,0.9886524822695035
805,805.0,20.0,0.9751552795031055
905,905.0,8.0,0.9911602209944751
