Nombre de symboles,Longueur originale,Longueur code,Taux de compression
5,0.0,1,-inf
105,105.0,50,0.5238095238095238
205,205.0,54,0.7365853658536585
305,305.0,53,0.8262295081967213
405,405.0,56,0.8617283950617284
505,505.0,55,0.8910891089108911
605,605.0,53,0.912396694214876
705,705.0,53,0.924822695035461
805,805.0,53,0.9341614906832298
905,905.0,51,0.943646408839779
